Entity,Output-side real GDP per capita (2011 international-$),Life expectancy (years)
Albania,9544.7402,76.562
Algeria,12590.226,74.938
Angola,5988.5347,55.35
Anguilla,21098.057,80.903
Antigua and Barbuda,17162.16,75.82300000000001
Argentina,15841.659,75.278
Armenia,8222.9453,73.331
Aruba,37059.344,75.017
Australia,44854.902,81.944
Austria,40489.809,80.622
Azerbaijan,12947.103000000001,70.938
Bahamas,29504.582000000002,72.14399999999999
Bahrain,37045.812999999995,76.057
Bangladesh,2411.1021,69.881
Barbados,13995.613000000001,78.36399999999999
Belarus,16457.029,70.806
Belgium,38177.945,80.072
Belize,7145.9521,72.057
Benin,1919.9968,59.318000000000005
Bermuda,51447.145,81.087
Bhutan,7235.1895,68.384
Bolivia,4806.6094,68.007
Bosnia and Herzegovina,9049.3643,76.031
Botswana,12256.142,60.211000000000006
Brazil,13541.462,73.619
British Virgin Islands,21183.281000000003,77.699
Brunei,67320.898,74.74
Bulgaria,14906.785,73.722
Burkina Faso,1327.2166,57.096000000000004
Burundi,731.42328,57.228
Cambodia,2330.1272,66.56
Cameroon,2684.9727,55.101000000000006
Canada,40269.031,81.322
Cape Verde,5644.8213,71.062
Cayman Islands,36670.68,82.546
Central African Republic,865.4422,47.312
Chad,1880.3749,50.89
Chile,18092.941000000003,78.779
China,9337.29,74.40899999999999
Colombia,10636.5,75.42399999999999
Comoros,2292.998,61.861999999999995
Congo,4979.9907,60.093
Costa Rica,12106.992,78.76899999999999
Cote d'Ivoire,2452.6096,52.964
Croatia,19305.01,76.797
Curacao,24337.814,76.964
Cyprus,28046.375,79.43
Czech Republic,26129.568,77.61
Democratic Republic of Congo,634.97137,56.909
Denmark,43416.223,79.416
Djibouti,2124.4419,60.062
Dominica,9101.9932,74.262
Dominican Republic,11500.132,72.046
Ecuador,9129.1367,75.089
Egypt,9148.8398,70.34899999999999
El Salvador,6096.9585,71.21
Equatorial Guinea,31416.887000000002,55.622
Estonia,20265.572,75.311
Ethiopia,1100.1832,61.626999999999995
Fiji,6902.0688,66.655
Finland,38394.059,80.137
France,35786.16,81.508
Gabon,11961.169,61.4
Gambia,2681.8586,59.637
Georgia,7966.6021,71.46
Germany,40627.23,80.124
Ghana,3931.2917,61.03
Greece,25815.799,80.542
Grenada,9791.291,72.867
Guatemala,6359.2627,71.48100000000001
Guinea,1742.7347,56.861000000000004
Guinea-Bissau,1387.2498,54.628
Haiti,1650.2697,60.511
Honduras,3789.9104,73.317
Hong Kong,41687.949,82.90299999999999
Hungary,20477.799,74.488
Iceland,37729.016,81.801
India,4357.0596,66.693
Indonesia,7365.4385,69.205
Iran,17328.459,73.905
Iraq,9344.5439,68.567
Ireland,47823.504,80.182
Israel,28638.904,81.46300000000001
Italy,34727.676,81.958
