Entity,Code,Year,Share of one person households (%)
Afghanistan,AFG,2015,0.189425072
Albania,ALB,2011,8.274421193
Angola,AGO,2007,4.082941892
Angola,AGO,2011,6.603705049
Angola,AGO,2016,10.81314627
Argentina,ARG,1970,10.25626207
Argentina,ARG,1980,10.38154609
Argentina,ARG,2001,14.88346843
Argentina,ARG,2010,17.59833909
Armenia,ARM,2000,8.410597501
Armenia,ARM,2005,13.06479534
Armenia,ARM,2010,15.26327762
Aruba,ABW,2010,21.36749684
Australia,AUS,1996,22.1
Australia,AUS,2001,22.9
Australia,AUS,2011,24.4
Australia,AUS,2016,24.9918519
Austria,AUT,2003,31.6
Austria,AUT,2004,34.1
Austria,AUT,2005,34.5
Austria,AUT,2006,34.7
Austria,AUT,2007,35
Austria,AUT,2008,35.3
Austria,AUT,2009,35.7
Austria,AUT,2010,36
Austria,AUT,2011,36.2
Austria,AUT,2012,36.5
Austria,AUT,2013,36.7
Austria,AUT,2014,37
Austria,AUT,2015,37.2
Austria,AUT,2016,37
Austria,AUT,2017,37
Austria,AUT,2018,37.2
Azerbaijan,AZE,2009,6.766349797
Bahamas,BHS,2010,17.73097958
Bangladesh,BGD,1994,1.545442896
Bangladesh,BGD,1997,1.883779236
Bangladesh,BGD,2000,1.5271554
Bangladesh,BGD,2004,1.702454098
Bangladesh,BGD,2007,2.257475128
Bangladesh,BGD,2011,1.735012545
Bangladesh,BGD,2014,1.738486814
Belarus,BLR,1999,26.15616081
Belarus,BLR,2009,29.65364786
Belgium,BEL,2003,33
Belgium,BEL,2004,32.4
Belgium,BEL,2005,33.9
Belgium,BEL,2006,33.5
Belgium,BEL,2007,34.1
Belgium,BEL,2008,34.8
Belgium,BEL,2009,34.6
Belgium,BEL,2010,34.6
Belgium,BEL,2011,34.9
Belgium,BEL,2012,34.9
Belgium,BEL,2013,34.5
Belgium,BEL,2014,34.3
Belgium,BEL,2015,34.6
Belgium,BEL,2016,34.1
Belgium,BEL,2017,34
Belgium,BEL,2018,34.7
Benin,BEN,1996,8.703389939
Benin,BEN,2001,11.85959957
Benin,BEN,2006,10.50150165
Benin,BEN,2012,10.26512972
Bermuda,BMU,2000,27.87498012
Bermuda,BMU,2010,28.87493964
Bolivia,BOL,1994,8.234653737
Bolivia,BOL,1998,10.00911794
Bolivia,BOL,2003,12.12090141
Bolivia,BOL,2008,12.76075304
Botswana,BWA,1981,10.82652881
Botswana,BWA,1991,18.04127444
Botswana,BWA,2001,23.27897208
Botswana,BWA,2011,27.89102064
Brazil,BRA,1960,4.84925574
Brazil,BRA,1970,5.214227261
Brazil,BRA,1980,6.12647022
Brazil,BRA,1991,6.668220469
Brazil,BRA,2000,8.929955111
Brazil,BRA,2010,12.00075542
Brunei,BRN,2011,7.216026496
Bulgaria,BGR,2005,18.6
Bulgaria,BGR,2006,18.6
Bulgaria,BGR,2007,21.1
Bulgaria,BGR,2008,18.4
Bulgaria,BGR,2009,19.1
Bulgaria,BGR,2010,19.4
Bulgaria,BGR,2011,19.9
Bulgaria,BGR,2012,21.6
Bulgaria,BGR,2013,22.4
Bulgaria,BGR,2014,24.2
Bulgaria,BGR,2015,28.9
Bulgaria,BGR,2016,30.6
Bulgaria,BGR,2017,31
Bulgaria,BGR,2018,33.3
Burkina Faso,BFA,1993,5.025886644
Burkina Faso,BFA,1999,4.390338573
Burkina Faso,BFA,2003,6.14808834
Burkina Faso,BFA,2010,6.326637238
Burkina Faso,BFA,2014,6.640298513
Burundi,BDI,2010,5.771999952
Burundi,BDI,2012,6.191147209
Burundi,BDI,2016,6.042050951
Cambodia,KHM,2000,1.865142063
Cambodia,KHM,2005,2.949574311
Cambodia,KHM,2010,2.833942987
Cambodia,KHM,2014,3.37234042
Cameroon,CMR,1991,14.18673138
Cameroon,CMR,1998,12.70167367
Cameroon,CMR,2004,17.60038526
Cameroon,CMR,2011,15.14269148
Canada,CAN,2001,25.74493156
Canada,CAN,2006,26.75021528
Canada,CAN,2011,27.57617707
Central African Republic,CAF,1994,13.50336163
Chad,TCD,1997,9.559245282
Chad,TCD,2004,8.028637267
Chad,TCD,2015,7.732240271
Chile,CHL,1970,5.691567639
Chile,CHL,1982,6.945170983
Chile,CHL,1992,8.316079008
Chile,CHL,2002,11.42539368
China,CHN,1982,7.993996544
China,CHN,1990,6.318387325
China,CHN,2000,8.589161342
Colombia,COL,1990,6.624852222
Colombia,COL,1995,6.390415956
Colombia,COL,2000,7.672811586
Colombia,COL,2005,7.650872912
Colombia,COL,2010,9.438077262
Colombia,COL,2015,11.1259082
Comoros,COM,1996,2.31316726
Comoros,COM,2012,4.910657195
Congo,COG,2005,8.861331316
Congo,COG,2009,12.26820632
Congo,COG,2011,13.08864795
Costa Rica,CRI,1973,4.732385848
Costa Rica,CRI,1984,5.364396188
Costa Rica,CRI,2000,8.001707586
Costa Rica,CRI,2011,11.2267724
Cote d'Ivoire,CIV,1994,13.88433708
Cote d'Ivoire,CIV,1998,11.40531471
Cote d'Ivoire,CIV,2005,11.44494507
Cote d'Ivoire,CIV,2012,12.17714645
Croatia,HRV,2010,24.6
Croatia,HRV,2011,24.6
Croatia,HRV,2012,24.6
Croatia,HRV,2013,24.6
Croatia,HRV,2014,24.6
Croatia,HRV,2015,24.6
Croatia,HRV,2016,24.6
Croatia,HRV,2017,24.3
Croatia,HRV,2018,24.4
Cuba,CUB,2002,13.73013554
Cyprus,CYP,2005,16
Cyprus,CYP,2006,16
Cyprus,CYP,2007,16
Cyprus,CYP,2008,20.8
Cyprus,CYP,2009,20.8
Cyprus,CYP,2010,20.8
Cyprus,CYP,2011,20.8
Cyprus,CYP,2012,20.7
Cyprus,CYP,2013,20.8
Cyprus,CYP,2014,20.8
Cyprus,CYP,2015,20.7
Cyprus,CYP,2016,20.8
Cyprus,CYP,2017,20.8
Cyprus,CYP,2018,20.8
Czech Republic,CZE,2005,22.8
Czech Republic,CZE,2006,23.7
Czech Republic,CZE,2007,23.8
Czech Republic,CZE,2008,24.8
Czech Republic,CZE,2009,24.5
Czech Republic,CZE,2010,23.5
Czech Republic,CZE,2011,23.7
Czech Republic,CZE,2012,27.2
Czech Republic,CZE,2013,27.8
Czech Republic,CZE,2014,27.9
Czech Republic,CZE,2015,27.9
Czech Republic,CZE,2016,28.4
Czech Republic,CZE,2017,28.3
Czech Republic,CZE,2018,28.7
Democratic Republic of Congo,COD,2007,6.727813033
Democratic Republic of Congo,COD,2013,7.253944633
Denmark,DNK,2003,43.8
Denmark,DNK,2004,43.5
Denmark,DNK,2005,43.7
Denmark,DNK,2006,43.9
Denmark,DNK,2007,44.3
Denmark,DNK,2008,45.8
Denmark,DNK,2009,46.1
Denmark,DNK,2010,46.2
Denmark,DNK,2011,44
Denmark,DNK,2012,44.2
Denmark,DNK,2013,45.1
Denmark,DNK,2014,45
Denmark,DNK,2015,45
Denmark,DNK,2016,44.8
Denmark,DNK,2017,43.4
Denmark,DNK,2018,44.1
Dominican Republic,DOM,1996,8.312300349
Dominican Republic,DOM,1999,8.146564136
Dominican Republic,DOM,2002,11.03890575
Dominican Republic,DOM,2007,12.22506648
Dominican Republic,DOM,2013,14.33210278
EU average,,2011,30.67809149
East Germany,OWID_GDR,1950,21.67
East Germany,OWID_GDR,1964,27.22
East Germany,OWID_GDR,1971,25.98
East Germany,OWID_GDR,1981,26.55
Ecuador,ECU,1974,6.938578841
Ecuador,ECU,1982,7.687129694
Ecuador,ECU,1990,7.636873528
Ecuador,ECU,2001,9.157058138
Ecuador,ECU,2010,12.12348666
Egypt,EGY,1992,4.613305956
Egypt,EGY,1995,5.403063128
Egypt,EGY,2000,4.973597495
Egypt,EGY,2003,5.762410306
Egypt,EGY,2005,5.2738374
Egypt,EGY,2008,5.479661745
Egypt,EGY,2014,6.478594966
El Salvador,SLV,1992,7.551529044
El Salvador,SLV,2007,8.822713598
Estonia,EST,2004,32
Estonia,EST,2005,31.1
Estonia,EST,2006,33.2
Estonia,EST,2007,33.6
Estonia,EST,2008,34.4
Estonia,EST,2009,34.2
Estonia,EST,2010,34.5
Estonia,EST,2011,34.9
Estonia,EST,2012,36
Estonia,EST,2013,36
Estonia,EST,2014,36
Estonia,EST,2015,36.3
Estonia,EST,2016,38
Estonia,EST,2017,39.7
Estonia,EST,2018,40.3
Ethiopia,ETH,2000,5.125731809
Ethiopia,ETH,2005,5.001709092
Ethiopia,ETH,2011,7.575711552
Ethiopia,ETH,2016,7.521216404
European Union (28 countries),,2010,30.9
European Union (28 countries),,2011,31.1
European Union (28 countries),,2012,31.2
European Union (28 countries),,2013,31.6
European Union (28 countries),,2014,32
European Union (28 countries),,2015,32.3
European Union (28 countries),,2016,32.5
European Union (28 countries),,2017,32.8
European Union (28 countries),,2018,33
Eurozone average,,2011,30.77480446
Fiji,FJI,1976,3.205128205
Fiji,FJI,1986,3.619322278
Fiji,FJI,1996,3.98353565
Fiji,FJI,2007,5.546852335
Finland,FIN,2004,37.9
Finland,FIN,2005,38.3
Finland,FIN,2006,38.5
Finland,FIN,2007,38.5
Finland,FIN,2008,39.2
Finland,FIN,2009,39.8
Finland,FIN,2010,39.5
Finland,FIN,2011,40.1
Finland,FIN,2012,40.2
Finland,FIN,2013,40.3
Finland,FIN,2014,40.8
Finland,FIN,2015,40.9
Finland,FIN,2016,41.3
Finland,FIN,2017,41.6
Finland,FIN,2018,43
France,FRA,2004,32.8
France,FRA,2005,31.4
France,FRA,2006,31.2
France,FRA,2007,33.9
France,FRA,2008,34.6
France,FRA,2009,34.4
France,FRA,2010,35.3
France,FRA,2011,34.2
France,FRA,2012,34.7
France,FRA,2013,35.2
France,FRA,2014,35.4
France,FRA,2015,35.9
France,FRA,2016,35.7
France,FRA,2017,36
France,FRA,2018,36.2
French Polynesia,PYF,2007,13.17600787
Gabon,GAB,2000,19.28867044
Gabon,GAB,2012,22.42201356
Gambia,GMB,2013,8.385145997
Georgia,GEO,2002,16.30066331
German Reich,,1864,10.72
German Reich,,1867,7.12
German Reich,,1871,5.57
German Reich,,1875,5.65
German Reich,,1880,5.66
German Reich,,1885,6.22
German Reich,,1890,6.67
German Reich,,1895,6.8
German Reich,,1900,7.15
German Reich,,1905,7.31
German Reich,,1910,7.32
German Reich,,1925,6.72
German Reich,,1933,8.38
German Reich,,1939,9.76
Germany,DEU,2005,37.1
Germany,DEU,2006,38.1
